"","Province","Region","Product","SubProduct","Finance","Segment","Purpose","InstallmentType","Performa","Provision","ClassPercent","TotalAc","classification"
"80","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","6","50","1","DOUBTFUL"
"91","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","5","25","1","SUB/STANDARD"
"128","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (improvement)","individuals","fixed investments","monthly","0","5","50","1","DOUBTFUL"
"220","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"221","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"222","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"223","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"224","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"225","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"226","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"227","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"228","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"229","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","50","1","DOUBTFUL"
"230","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"249","Punjab","1","consumer","gold loan","demand finance gold a/c.","cement","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"250","Punjab","1","consumer","gold loan","demand finance gold a/c.","cement","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"280","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","fixed investments","monthly","0","3","25","1","SUB/STANDARD"
"281","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","fixed investments","monthly","0","5","25","1","SUB/STANDARD"
"324","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","monthly","0","1","25","1","SUB/STANDARD"
"338","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","lumpsum","0","1","25","1","SUB/STANDARD"
"339","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","lumpsum","0","1","25","1","SUB/STANDARD"
"340","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","lumpsum","0","1","25","1","SUB/STANDARD"
"341","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","lumpsum","0","1","25","1","SUB/STANDARD"
"354","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"355","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"356","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"357","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"358","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"359","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"360","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"361","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"362","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"363","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"364","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"365","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"366","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"367","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"368","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","50","1","DOUBTFUL"
"370","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"371","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"372","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"373","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"374","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
